nom_eni_fusion_trait_code;x
ACHIMILLEFO;1
AEGIGENICUL;2
AGRIEUPATOR;3
ELYTREPENS;4
AGROCAPILLA;5
AGROSTOLONI;6
ALLIVINEALE;7
ALOPMYOSURO;8
ALOPPRATENS;9
AMBRARTEMIS;10
ANTHODORATU;11
ARCTMINUS;12
ARRHELATIUS;13
ARTEVULGARI;14
AVENSATIVA;15
AVENBARBATA;16
BELLPERENNI;17
BRACRUPESTR;18
BROMHORDEAC;19
ANISSTERILI;20
ANISDIANDRA;21
BROMCOMMUTA;22
CERACATHART;23
ANISMADRITE;24
CALEARVENSI;25
CONVSEPIUM;26
CAPSBURSA-P;27
CARDHIRSUTA;28
CIRSARVENSE;29
CENTJACEA;30
CERAFONTANU;31
CERAGLOMERA;32
CHENALBUM;33
CHONJUNCEA;34
CIRSVULGARE;35
CLEMVITALBA;36
CONVARVENSI;37
CREPVESICAR;38
CREPSANCTA;39
CRUCLAEVIPE;40
CYANSEGETUM;41
CYNODACTYLO;42
DACTGLOMERA;43
DAUCCAROTA;44
DIGISANGUIN;45
DIPLERUCOID;46
ECHICRUS-GA;47
ELYTCAMPEST;48
EPILTETRAGO;49
ERIGCANADEN;50
ERIGSUMATRE;51
ERODCICUTAR;52
ERYNCAMPEST;53
EUPHHELIOSC;54
FALLCONVOLV;55
SCHEARUNDIN;56
FESTOVINA;57
FESTRUBRA;58
FOENVULGARE;59
FUMAOFFICIN;60
GALIMOLLUGO;61
GALIAPARINE;62
GERAROTUNDI;63
GERADISSECT;64
GERAMOLLE;65
GERACOLUMBI;66
GERAPUSILLU;67
GERAROBERTI;68
GEUMURBANUM;69
GLECHEDERAC;70
HEDEHELIX;71
HELMECHIOID;72
HERASPHONDY;73
HOLCLANATUS;74
HOLCMOLLIS;75
HORDMURINUM;76
HYPEPERFORA;77
HYPORADICAT;78
KNAUARVENSI;79
LACTSERRIOL;80
LAMIPURPURE;81
LAPSCOMMUNI;82
LATHPRATENS;83
LEUCVULGARE;84
LINAVULGARI;85
LOLIPERENNE;86
LOLIMULTIFL;87
LOTUCORNICU;88
LYSIARVENSI;89
MALVSYLVEST;90
MATRCHAMOMI;91
MEDISATIVA;92
MEDIARABICA;93
MEDILUPULIN;94
MEDIMINIMA;95
MEDIPOLYMOR;96
MENTSUAVEOL;97
MERCANNUA;98
MYOSARVENSI;99
OXALCORNICU;100
PAPARHOEAS;101
PERSLAPATHI;102
PERSMACULOS;103
PHLEPRATENS;104
PICRHIERACI;105
PLANLANCEOL;106
PLANMAJOR;107
POAPRATENS;108
POAANNUA;109
POATRIVIAL;110
POLYAVICULA;111
PORTOLERACE;112
POTEREPTANS;113
ARGEANSERIN;114
PRUNVULGARI;115
PRUNSPINOSA;116
RANUREPENS;117
RANUBULBOSU;118
RANUACRIS;119
ROSACANINA;120
RUMECRISPUS;121
RUMEACETOSA;122
RUMEOBTUSIF;123
RUMEACETOSE;124
POTESANGUIS;125
SCABATROPUR;126
SENEVULGARI;127
SETAPUMILA;128
SETAITALICA;129
SHERARVENSI;130
SILELATIFOL;131
SINAARVENSI;132
SISYOFFICIN;133
SOLANIGRUM;134
SONCASPER;135
SONCARVENSI;136
SONCOLERACE;137
STELMEDIA;138
STELGRAMINE;139
STELHOLOSTE;140
TORIARVENSI;141
TORIJAPONIC;142
TRAGPRATENS;143
TRIFREPENS;144
TRIFCAMPEST;145
TRIFARVENSE;146
TRIFPRATENS;147
TRIPINODORU;148
TRITAESTIVU;149
URTIDIOICA;150
VERBOFFICIN;151
VEROARVENSI;152
VEROPERSICA;153
VICICRACCA;154
VICISATIVA;155
ERVIHIRSUTA;156
VIOLARVENSI;157
VULPMYUROS;158
